ID_Publicacion,ID_Publicacion_Padre,ID_Usuario,Usuario_Handle,Plataforma,Tipo_Publicacion,Texto_Publicacion,Hashtags_Usados,Marca_Mencionada,Fecha_Hora_Publicacion,Perfil_Usuario,Antigüedad_Cuenta_Dias,Num_Seguidores_Cuenta,Num_Interacciones,Velocidad_Viralizacion,Contenido_Reciclado,Corroboraciones_Independientes
105,47.0,316,@andres03,TikTok,Comentario,posta que supuestamente el ganador real habló pero borró el mensaje rapidísimo,,,2026-03-15 04:04:44,Anónimo,20.3,898,682.0,3.3,Sí (idéntico a publicación de 2023 sobre otro creador),1
106,92.0,342,@kevin_00,TikTok,Descripción de captura,yo vine a leer los comentarios que siempre son mejores que la noticia de verdad...,#Cancelado #KaiDuarte,,2026-03-15 04:06:36,Cuenta_Nueva,18.5,10457,32.0,2.0,No,0
107,,67,@antoniacun,X,Comentario,me parece raro que NovaVolt se pronuncie tan rápido sin saber toda la historia,#QueDijoKai,NovaVolt,2026-03-15 02:22:34,Anónimo,950.1,330,13.0,3.1,No,0
108,88.0,382,@mvidalteam_885,TikTok,Repost/Cita,"confirmado, Kai amañó el sorteo, pasen la voz #CancelenAKai",#CancelenAKai,,2026-03-15 04:03:17,Bot_Sospechoso,0.0,18105,126.0,17.8,No,0
109,88.0,300,@ivan2020,TikTok,Comentario,"me acaban de contar que me contaron que alguien del equipo renunció por esto, sin confirmación",#KaiDuarte #FueraKai,,2026-03-15 03:52:27,Cuenta_Nueva,17.7,815,33.0,9.9,Posible (similar a una publicación anterior),1
110,82.0,45,@david07,X,Comentario,yo creo que hay que esperar antes de sacar conclusiones sin exagerar...,#CancelenAKai,,2026-03-15 04:07:41,Verificado,868.5,2340,52.0,3.6,No,0
111,54.0,164,@wilsonalarcon_oficial,Instagram,Comentario,"dato: seguí el proceso desde el chat en vivo, a mí se vio transparente",#JusticiaParaKai,,2026-03-15 04:07:11,Verificado,656.4,5554,449.0,5.4,No,4
112,110.0,50,@ivanalarcon_col,X,Comentario,"que fastidio, otra vez cancelando a alguien sin dejarlo hablar ya en serio 💀",,,2026-03-15 04:09:13,Anónimo,2157.2,12104,49.0,1.1,No,1
113,102.0,292,@valentinasuarez_real,Instagram,Descripción de captura,"sea cual sea la verdad, la forma en que se está manejando esto es un desastre y eso que apenas empieza el día...",#KaiMentiroso,,2026-03-15 03:49:28,Anónimo,6.5,446,52.0,2.3,No,0
114,108.0,377,@despiertaya_618,X,Repost/Cita,"KAI ES CULPABLE, ya hay pruebas, no lo defiendan más #CancelenAKai",#CancelenAKai,,2026-03-15 04:08:00,Bot_Sospechoso,3.0,985,73.0,20.4,No,0
115,96.0,110,@yuliana,Instagram,Comentario,seguridad del evento confirmó que hubo varios testigos presentes,#EvaluandoLaSituacion,,2026-03-15 03:10:48,Verificado,1050.4,12050,472.0,3.7,No,2
116,106.0,344,@brayan99,Instagram,Comentario,"Esto se puso serio rapidísimo, hace una hora era chisme y eso que apenas empieza el día...",#JusticiaParaKai,,2026-03-15 04:12:37,Anónimo,0.0,84,13.0,1.0,No,0
117,66.0,276,@carlos03,Instagram,Comentario,"esto ya lo vi venir hace rato, algo raro pasaba sin exagerar",#QueDijoKai,,2026-03-15 04:11:03,Anónimo,10.1,109,57.0,1.6,No,0
118,116.0,98,@marialeon_col,X,Transcripción de audio/video,mis amigas y yo llevamos toda la noche hablando de esto otra vez,#QueDijoKai,,2026-03-15 04:34:10,Fan_Antiguo,1483.0,14224,119.0,3.3,No,1
119,85.0,267,@camilacastro34,X,Comentario,dicen que hay un audio filtrado completo pero nadie lo ha mostrado,,,2026-03-15 04:16:05,Anónimo,15.2,433,311.0,3.1,No,1
120,99.0,249,@daniela15,X,Comentario,yo esperaría el comunicado oficial antes de opinar y las marcas ni se han pronunciado bien,,,2026-03-15 02:41:17,Anónimo,1073.8,27330,48.0,3.3,No,0
121,88.0,105,@samuelvargas2020,Foro anónimo,Comentario,tremendo desorden se armó de la nada anoche ya en serio,,,2026-03-15 04:14:18,Verificado,762.3,3148,24.0,1.2,No,2
122,30.0,390,@porsiempreKai_197,Instagram,Comentario,"esas capturas ya las vi hace años en otro escándalo, esto es reciclado",#JusticiaParaKai,,2026-03-15 04:21:26,Fan_Antiguo,696.4,4495,77.0,8.6,No,2
123,121.0,304,@adrianariostv,X,Descripción de captura,ya perdí la cuenta de cuántos hilos van sobre esto,#JusticiaParaKai,,2026-03-15 04:24:38,Cuenta_Nueva,13.2,764,22.0,2.7,No,0
124,54.0,171,@cesar07,X,Comentario,"Actualización: tengo un conocido que trabajó en la producción, dice que todo estuvo en orden",,,2026-03-15 03:50:28,Verificado,1687.8,6372,245.0,0.1,No,6
